2021-10-28 01:08:49,192 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-28 01:08:49,334 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 54678
2021-10-28 01:08:49,863 , _internal.py , werkzeug ,  INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-28 01:08:49,863 , _internal.py , werkzeug , INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-28 01:09:03,773 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-28 01:09:03,943 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 54678
2021-10-28 01:09:03,991 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-28 01:09:04,128 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 54678
2021-10-28 01:09:04,591 , _internal.py , werkzeug ,  INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-28 01:09:04,591 , _internal.py , werkzeug , INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-28 01:10:03,813 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-28 01:10:04,008 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 54678
2021-10-28 01:10:04,050 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-28 01:10:04,197 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 54678
2021-10-28 01:10:04,660 , _internal.py , werkzeug ,  INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-28 01:10:04,660 , _internal.py , werkzeug , INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-28 01:10:21,035 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-28 01:10:21,185 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 54678
2021-10-28 01:10:21,227 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-28 01:10:21,360 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 54678
2021-10-28 01:10:21,806 , _internal.py , werkzeug ,  INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-28 01:10:21,806 , _internal.py , werkzeug , INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-28 01:12:37,868 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-28 01:12:38,017 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 54678
2021-10-28 01:12:38,058 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-28 01:12:38,200 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 54678
2021-10-28 01:12:38,634 , _internal.py , werkzeug ,  INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-28 01:12:38,634 , _internal.py , werkzeug , INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-28 01:14:41,359 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-28 01:14:41,557 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 54678
2021-10-28 01:14:41,608 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-28 01:14:41,756 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 54678
2021-10-28 01:14:42,258 , _internal.py , werkzeug ,  INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-28 01:14:42,258 , _internal.py , werkzeug , INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
